order_id,generation_time,origin,destination,deadline,status
ORD_00001,0,53,44,100,COMPLETED
ORD_00002,1,55,2,101,COMPLETED
ORD_00003,7,95,49,107,COMPLETED
ORD_00004,11,21,16,111,COMPLETED
ORD_00005,15,92,48,115,COMPLETED
ORD_00006,25,68,15,125,COMPLETED
ORD_00007,40,52,0,140,COMPLETED
ORD_00008,42,21,41,142,COMPLETED
ORD_00009,46,34,70,146,COMPLETED
ORD_00010,47,77,10,147,COMPLETED
ORD_00011,48,37,87,148,COMPLETED
ORD_00012,49,7,73,149,COMPLETED
ORD_00013,51,73,9,151,COMPLETED
ORD_00014,58,69,29,158,COMPLETED
ORD_00015,64,89,96,164,COMPLETED
ORD_00016,65,53,39,165,COMPLETED
ORD_00017,70,26,60,170,COMPLETED
ORD_00018,71,74,7,171,COMPLETED
ORD_00019,72,11,74,172,COMPLETED
ORD_00020,82,37,41,182,COMPLETED
ORD_00021,84,48,80,184,COMPLETED
ORD_00022,85,16,54,185,COMPLETED
ORD_00023,87,64,41,187,COMPLETED
ORD_00024,89,52,81,189,COMPLETED
ORD_00025,91,55,86,191,COMPLETED
ORD_00026,92,85,41,192,COMPLETED
ORD_00027,99,26,80,199,COMPLETED
ORD_00028,100,28,3,200,COMPLETED
ORD_00029,103,70,63,203,COMPLETED
ORD_00030,108,41,43,208,COMPLETED
ORD_00031,110,83,12,210,COMPLETED
ORD_00032,112,34,49,212,COMPLETED
ORD_00033,113,44,74,213,COMPLETED
ORD_00034,115,9,20,215,COMPLETED
ORD_00035,121,82,24,221,COMPLETED
ORD_00036,127,92,6,227,COMPLETED
ORD_00037,133,78,72,233,COMPLETED
ORD_00038,138,57,29,238,COMPLETED
ORD_00039,139,21,47,239,COMPLETED
ORD_00040,141,48,54,241,COMPLETED
ORD_00041,146,31,38,246,COMPLETED
ORD_00042,147,20,24,247,COMPLETED
ORD_00043,150,81,53,250,COMPLETED
ORD_00044,152,95,46,252,COMPLETED
ORD_00045,153,55,17,253,COMPLETED
ORD_00046,154,62,38,254,COMPLETED
ORD_00047,156,17,19,256,COMPLETED
ORD_00048,164,67,59,264,COMPLETED
ORD_00049,171,97,2,271,COMPLETED
ORD_00050,172,7,18,272,COMPLETED
ORD_00051,173,12,54,273,COMPLETED
ORD_00052,177,51,92,277,COMPLETED
ORD_00053,183,35,78,283,COMPLETED
ORD_00054,189,54,25,289,COMPLETED
ORD_00055,190,5,15,290,COMPLETED
ORD_00056,191,57,81,291,COMPLETED
ORD_00057,192,44,36,292,COMPLETED
ORD_00058,195,39,82,295,COMPLETED
ORD_00059,197,96,42,297,COMPLETED
ORD_00060,200,83,52,300,COMPLETED
ORD_00061,206,68,4,306,COMPLETED
ORD_00062,207,71,37,307,COMPLETED
ORD_00063,208,6,28,308,COMPLETED
ORD_00064,210,37,16,310,COMPLETED
ORD_00065,211,42,85,311,COMPLETED
ORD_00066,212,19,81,312,COMPLETED
ORD_00067,219,84,5,319,COMPLETED
ORD_00068,220,19,38,320,COMPLETED
ORD_00069,222,46,27,322,COMPLETED
ORD_00070,223,98,12,323,COMPLETED
ORD_00071,228,7,70,328,COMPLETED
ORD_00072,229,12,56,329,COMPLETED
ORD_00073,230,50,86,330,COMPLETED
ORD_00074,231,33,4,331,COMPLETED
ORD_00075,233,11,37,333,COMPLETED
ORD_00076,239,0,40,339,COMPLETED
ORD_00077,240,5,33,340,COMPLETED
ORD_00078,241,14,21,341,COMPLETED
ORD_00079,242,64,60,342,COMPLETED
ORD_00080,243,85,53,343,COMPLETED
ORD_00081,245,90,31,345,COMPLETED
ORD_00082,250,85,29,350,COMPLETED
ORD_00083,255,15,85,355,COMPLETED
ORD_00084,257,84,45,357,COMPLETED
ORD_00085,258,23,12,358,COMPLETED
ORD_00086,260,75,40,360,COMPLETED
ORD_00087,263,17,79,363,COMPLETED
ORD_00088,270,21,32,370,COMPLETED
ORD_00089,272,81,3,372,COMPLETED
ORD_00090,275,37,77,375,COMPLETED
ORD_00091,278,39,51,378,COMPLETED
ORD_00092,279,89,78,379,COMPLETED
ORD_00093,284,66,20,384,COMPLETED
ORD_00094,286,95,51,386,COMPLETED
ORD_00095,290,71,86,390,COMPLETED
ORD_00096,293,94,1,393,COMPLETED
ORD_00097,299,16,75,399,COMPLETED
ORD_00098,302,56,87,402,COMPLETED
ORD_00099,307,34,82,407,COMPLETED
ORD_00100,310,78,89,410,COMPLETED
ORD_00101,312,24,97,412,COMPLETED
ORD_00102,314,11,63,414,COMPLETED
ORD_00103,316,64,38,416,COMPLETED
ORD_00104,317,80,5,417,COMPLETED
ORD_00105,320,98,9,420,COMPLETED
ORD_00106,321,5,58,421,COMPLETED
ORD_00107,323,36,44,423,COMPLETED
ORD_00108,328,67,95,428,COMPLETED
ORD_00109,329,97,54,429,COMPLETED
ORD_00110,330,80,33,430,COMPLETED
ORD_00111,333,69,28,433,COMPLETED
ORD_00112,336,65,23,436,COMPLETED
ORD_00113,337,47,26,437,COMPLETED
ORD_00114,341,81,72,441,COMPLETED
ORD_00115,343,13,62,443,COMPLETED
ORD_00116,344,75,12,444,COMPLETED
ORD_00117,348,70,60,448,COMPLETED
ORD_00118,351,28,9,451,COMPLETED
ORD_00119,352,53,25,452,COMPLETED
ORD_00120,354,41,48,454,COMPLETED
ORD_00121,360,82,25,460,COMPLETED
ORD_00122,362,4,73,462,COMPLETED
ORD_00123,366,80,12,466,COMPLETED
ORD_00124,371,4,44,471,COMPLETED
ORD_00125,382,98,60,482,COMPLETED
ORD_00126,384,81,34,484,COMPLETED
ORD_00127,386,55,68,486,COMPLETED
ORD_00001,1,58,80,101,COMPLETED
ORD_00002,8,61,9,108,COMPLETED
ORD_00003,13,31,12,113,COMPLETED
ORD_00004,14,51,49,114,COMPLETED
ORD_00005,22,94,18,122,COMPLETED
ORD_00006,27,34,39,127,COMPLETED
ORD_00007,30,53,76,130,COMPLETED
ORD_00008,31,0,29,131,COMPLETED
ORD_00009,33,48,65,133,COMPLETED
ORD_00010,34,81,97,134,COMPLETED
ORD_00011,35,49,2,135,COMPLETED
ORD_00012,41,14,85,141,COMPLETED
ORD_00013,44,12,56,144,COMPLETED
ORD_00014,49,69,18,149,COMPLETED
ORD_00015,52,72,56,152,COMPLETED
ORD_00016,54,85,4,154,COMPLETED
ORD_00017,56,76,31,156,COMPLETED
ORD_00018,60,57,47,160,COMPLETED
ORD_00019,63,45,30,163,COMPLETED
ORD_00020,64,12,33,164,COMPLETED
ORD_00021,65,22,46,165,COMPLETED
ORD_00022,66,72,50,166,COMPLETED
ORD_00023,82,86,83,182,COMPLETED
ORD_00024,83,60,26,183,COMPLETED
ORD_00025,84,91,34,184,COMPLETED
ORD_00026,85,11,14,185,COMPLETED
ORD_00027,90,88,92,190,COMPLETED
ORD_00028,91,38,57,191,COMPLETED
ORD_00029,92,68,63,192,COMPLETED
ORD_00030,93,82,23,193,COMPLETED
ORD_00031,105,94,20,205,COMPLETED
ORD_00032,109,6,83,209,COMPLETED
ORD_00033,113,29,96,213,COMPLETED
ORD_00034,120,41,40,220,COMPLETED
ORD_00035,136,58,65,236,COMPLETED
ORD_00036,142,27,81,242,COMPLETED
ORD_00037,145,70,63,245,COMPLETED
ORD_00038,147,52,64,247,COMPLETED
ORD_00039,149,12,84,249,COMPLETED
ORD_00040,150,25,97,250,COMPLETED
ORD_00041,154,38,57,254,COMPLETED
ORD_00042,158,80,85,258,COMPLETED
ORD_00043,159,49,27,259,COMPLETED
ORD_00044,161,86,26,261,COMPLETED
ORD_00045,163,62,73,263,COMPLETED
ORD_00046,168,97,56,268,COMPLETED
ORD_00047,169,55,97,269,COMPLETED
ORD_00048,173,69,47,273,COMPLETED
ORD_00049,174,6,32,274,COMPLETED
ORD_00050,186,59,30,286,COMPLETED
ORD_00051,189,57,66,289,COMPLETED
ORD_00052,190,73,32,290,COMPLETED
ORD_00053,192,62,92,292,COMPLETED
ORD_00054,193,86,30,293,COMPLETED
ORD_00055,194,39,60,294,COMPLETED
ORD_00056,201,89,18,301,COMPLETED
ORD_00057,203,58,84,303,COMPLETED
ORD_00058,204,0,55,304,COMPLETED
ORD_00059,213,80,74,313,COMPLETED
ORD_00060,215,19,77,315,COMPLETED
ORD_00061,217,48,52,317,COMPLETED
ORD_00062,220,27,39,320,COMPLETED
ORD_00063,225,33,24,325,COMPLETED
ORD_00064,227,50,74,327,COMPLETED
ORD_00065,229,75,25,329,COMPLETED
ORD_00066,232,23,39,332,COMPLETED
ORD_00067,233,47,91,333,COMPLETED
ORD_00068,235,17,56,335,COMPLETED
ORD_00069,236,94,4,336,COMPLETED
ORD_00070,239,58,10,339,COMPLETED
ORD_00071,240,51,2,340,COMPLETED
ORD_00072,243,79,78,343,COMPLETED
ORD_00073,244,10,84,344,COMPLETED
ORD_00074,259,87,2,359,COMPLETED
ORD_00075,261,81,96,361,COMPLETED
ORD_00076,268,68,2,368,COMPLETED
ORD_00077,269,95,78,369,COMPLETED
ORD_00078,270,53,46,370,COMPLETED
ORD_00079,277,45,37,377,COMPLETED
ORD_00080,278,95,60,378,COMPLETED
ORD_00081,279,83,58,379,COMPLETED
ORD_00082,280,12,64,380,COMPLETED
ORD_00083,281,45,59,381,COMPLETED
ORD_00084,285,21,96,385,COMPLETED
ORD_00085,288,33,26,388,COMPLETED
ORD_00086,290,11,9,390,COMPLETED
ORD_00087,292,8,46,392,COMPLETED
ORD_00088,296,51,23,396,COMPLETED
ORD_00089,303,88,82,403,COMPLETED
ORD_00090,304,60,91,404,COMPLETED
ORD_00091,308,44,36,408,COMPLETED
ORD_00092,309,17,47,409,COMPLETED
ORD_00093,311,84,81,411,COMPLETED
ORD_00094,313,15,55,413,COMPLETED
ORD_00095,316,97,23,416,COMPLETED
ORD_00096,317,9,29,417,COMPLETED
ORD_00097,318,10,21,418,COMPLETED
ORD_00098,328,73,1,428,COMPLETED
ORD_00099,329,26,59,429,COMPLETED
ORD_00100,331,63,41,431,COMPLETED
ORD_00101,332,13,58,432,COMPLETED
ORD_00102,333,39,56,433,COMPLETED
ORD_00103,339,53,80,439,COMPLETED
ORD_00104,340,15,46,440,COMPLETED
ORD_00105,343,43,86,443,COMPLETED
ORD_00106,347,34,93,447,COMPLETED
ORD_00107,348,85,18,448,COMPLETED
ORD_00108,349,17,59,449,COMPLETED
ORD_00109,351,64,49,451,COMPLETED
ORD_00110,352,37,36,452,COMPLETED
ORD_00111,354,10,92,454,COMPLETED
ORD_00112,356,84,62,456,COMPLETED
ORD_00113,359,32,13,459,COMPLETED
ORD_00114,362,95,34,462,COMPLETED
ORD_00115,370,11,78,470,COMPLETED
ORD_00116,371,38,75,471,COMPLETED
ORD_00117,372,98,30,472,COMPLETED
ORD_00118,374,82,87,474,COMPLETED
ORD_00119,378,3,93,478,COMPLETED
ORD_00120,379,25,23,479,COMPLETED
ORD_00121,380,33,1,480,COMPLETED
ORD_00122,384,31,73,484,COMPLETED
ORD_00123,385,9,47,485,COMPLETED
ORD_00124,387,38,45,487,COMPLETED
ORD_00125,390,71,26,490,COMPLETED
ORD_00126,391,43,57,491,COMPLETED
ORD_00127,392,49,35,492,COMPLETED
ORD_00128,394,46,97,494,COMPLETED
ORD_00129,396,84,49,496,COMPLETED
ORD_00130,397,23,78,497,COMPLETED
ORD_00131,399,88,18,499,COMPLETED
ORD_00132,408,55,95,508,COMPLETED
ORD_00133,409,83,40,509,COMPLETED
ORD_00134,410,76,87,510,COMPLETED
ORD_00135,411,85,78,511,COMPLETED
ORD_00136,416,25,98,516,COMPLETED
ORD_00137,417,89,15,517,COMPLETED
ORD_00138,418,54,51,518,COMPLETED
ORD_00139,421,59,67,521,COMPLETED
ORD_00140,423,70,76,523,COMPLETED
ORD_00141,424,66,58,524,COMPLETED
ORD_00142,426,80,2,526,COMPLETED
ORD_00143,429,72,52,529,COMPLETED
ORD_00144,435,66,1,535,COMPLETED
ORD_00145,439,80,31,539,COMPLETED
ORD_00146,444,81,34,544,COMPLETED
ORD_00147,446,78,22,546,COMPLETED
ORD_00148,456,88,73,556,COMPLETED
ORD_00149,458,98,71,558,COMPLETED
ORD_00150,482,36,17,582,COMPLETED
ORD_00151,484,89,7,584,COMPLETED
ORD_00152,486,16,12,586,COMPLETED
ORD_00153,495,11,13,595,COMPLETED
ORD_00154,496,56,60,596,COMPLETED
